epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,99.2173,0.76013,0.64675,0.97281,0.54386,0.37503,0.40493,0.26262,1.5382,5.3087,1.38566,0.000432526,0.000432526,0.000432526
42,101.447,0.69836,0.56067,0.91489,0.57159,0.39298,0.44044,0.24624,1.53908,5.30331,1.43867,0.000442749,0.000442749,0.000442749
43,103.508,0.83064,0.63617,0.96424,0.58049,0.40725,0.43768,0.24291,1.44134,6.64216,1.46964,0.000452949,0.000452949,0.000452949
44,105.529,0.69308,0.59232,0.93288,0.62231,0.45571,0.5121,0.30231,1.44899,4.08747,1.38379,0.000463128,0.000463128,0.000463128
45,107.576,0.77395,0.57998,0.95091,0.61311,0.56554,0.51122,0.30701,1.50684,4.46401,1.4266,0.000473285,0.000473285,0.000473285
46,109.633,0.73343,0.64414,0.96847,0.59061,0.50331,0.57276,0.3505,1.52409,3.94139,1.43548,0.000483419,0.000483419,0.000483419
47,111.708,0.68003,0.55502,0.89614,0.53446,0.47436,0.51713,0.31398,1.47201,3.32618,1.51589,0.000493532,0.000493532,0.000493532
48,113.935,0.73761,0.60756,0.92464,0.57889,0.39446,0.38617,0.22865,1.52481,6.35971,1.49637,0.000503623,0.000503623,0.000503623
49,116.02,0.72713,0.59438,0.95754,0.65371,0.39369,0.41704,0.25004,1.60918,6.55979,1.80941,0.000513692,0.000513692,0.000513692
50,118.099,0.8122,0.67004,0.96875,0.50338,0.42437,0.38593,0.233,1.54488,13.2341,1.79253,0.000523738,0.000523738,0.000523738
51,120.181,0.76456,0.62423,0.95011,0.45247,0.51991,0.38957,0.21367,1.48943,10.1012,1.87138,0.000528478,0.000528478,0.000528478
52,122.281,0.80878,0.68283,1.00705,0.62544,0.47292,0.53497,0.29615,1.3944,8.46841,1.57945,0.000527928,0.000527928,0.000527928
53,124.344,0.75556,0.59648,0.97183,0.6279,0.48756,0.56174,0.32469,1.27235,9.12915,1.49594,0.000527377,0.000527377,0.000527377
54,126.567,0.73544,0.61937,0.92515,0.58965,0.55574,0.60349,0.36636,1.21494,7.48823,1.35852,0.000526827,0.000526827,0.000526827
55,128.624,0.73318,0.57319,0.94646,0.67406,0.55335,0.61982,0.36322,1.3282,6.20036,1.34483,0.000526276,0.000526276,0.000526276
56,130.692,0.76147,0.63167,0.95977,0.62088,0.58742,0.65565,0.41679,1.32345,4.18853,1.36311,0.000525726,0.000525726,0.000525726
57,132.687,0.73323,0.56674,0.93212,0.53041,0.58707,0.58957,0.37237,1.34578,4.06113,1.57817,0.000525175,0.000525175,0.000525175
58,134.77,0.76627,0.63594,0.957,0.51651,0.52131,0.53303,0.33684,1.32871,2.98055,1.38017,0.000524625,0.000524625,0.000524625
59,136.858,0.7732,0.59034,0.93795,0.38043,0.5876,0.40862,0.24492,1.45494,3.24783,1.51033,0.000524074,0.000524074,0.000524074
60,139.153,0.66322,0.55626,0.91577,0.46616,0.46942,0.4802,0.27984,1.51324,3.74822,1.52835,0.000523524,0.000523524,0.000523524
61,141.232,0.68402,0.62318,0.95405,0.59464,0.47955,0.56124,0.338,1.43949,2.26172,1.46323,0.000522974,0.000522974,0.000522974
62,143.306,0.76087,0.58429,0.96222,0.58987,0.57214,0.61997,0.39472,1.4247,2.2994,1.47523,0.000522423,0.000522423,0.000522423
63,145.353,0.75495,0.60994,0.9536,0.71238,0.50933,0.60578,0.40007,1.18833,2.34493,1.35585,0.000521873,0.000521873,0.000521873
64,147.417,0.66243,0.52812,0.90848,0.64423,0.5585,0.634,0.41771,1.35326,2.14517,1.46122,0.000521322,0.000521322,0.000521322
65,149.674,0.68293,0.50678,0.89679,0.68972,0.61214,0.66435,0.425,1.35733,1.99749,1.47765,0.000520772,0.000520772,0.000520772
66,151.706,0.7232,0.56132,0.92422,0.61761,0.64642,0.64432,0.41253,1.39498,3.06453,1.35989,0.000520221,0.000520221,0.000520221
67,153.784,0.71678,0.52621,0.93009,0.69397,0.61502,0.64584,0.40698,1.34067,3.11834,1.44221,0.000519671,0.000519671,0.000519671
68,155.86,0.71437,0.53215,0.91409,0.7536,0.63036,0.67769,0.43712,1.28319,1.82822,1.38724,0.000519121,0.000519121,0.000519121
69,157.931,0.71427,0.52712,0.92909,0.55478,0.62487,0.6434,0.3987,1.36165,3.09608,1.36302,0.00051857,0.00051857,0.00051857
70,160.065,0.77138,0.57153,0.9825,0.75498,0.52738,0.67064,0.41224,1.41772,1.81083,1.40696,0.00051802,0.00051802,0.00051802
71,162.12,0.71615,0.49423,0.91626,0.79126,0.61639,0.66417,0.41029,1.40807,1.32301,1.41308,0.000517469,0.000517469,0.000517469
72,164.364,0.65942,0.53414,0.93018,0.7786,0.55546,0.64882,0.39199,1.34013,1.53985,1.30264,0.000516919,0.000516919,0.000516919
73,166.417,0.74156,0.52823,0.91839,0.66593,0.60229,0.62401,0.38617,1.42022,1.50551,1.38484,0.000516368,0.000516368,0.000516368
74,168.468,0.63964,0.4754,0.90218,0.75576,0.55378,0.6165,0.37248,1.27267,1.66138,1.30161,0.000515818,0.000515818,0.000515818
75,170.531,0.69242,0.56101,0.91017,0.73704,0.5951,0.62086,0.37581,1.2796,1.76225,1.33885,0.000515267,0.000515267,0.000515267
76,172.602,0.66714,0.49665,0.90628,0.72639,0.6424,0.64955,0.39614,1.38207,1.78598,1.36477,0.000514717,0.000514717,0.000514717
77,174.672,0.66413,0.50814,0.91921,0.75211,0.63314,0.66421,0.41537,1.35145,1.37927,1.46268,0.000514167,0.000514167,0.000514167
78,176.907,0.70712,0.49393,0.95584,0.83778,0.58661,0.67363,0.44136,1.25543,1.51031,1.42241,0.000513616,0.000513616,0.000513616
79,178.965,0.66726,0.45218,0.90292,0.67885,0.62598,0.64935,0.42071,1.1921,1.57226,1.26746,0.000513066,0.000513066,0.000513066
80,181.027,0.70451,0.50643,0.95811,0.68844,0.58982,0.66011,0.41114,1.26602,1.41703,1.27333,0.000512515,0.000512515,0.000512515
81,183.074,0.70396,0.48039,0.90588,0.7521,0.59839,0.69042,0.43772,1.22886,1.14335,1.25642,0.000511965,0.000511965,0.000511965
82,185.134,0.61707,0.44455,0.91262,0.74473,0.64272,0.69495,0.44545,1.32044,1.08491,1.33567,0.000511414,0.000511414,0.000511414
83,187.183,0.61394,0.43081,0.90391,0.84503,0.62302,0.70322,0.44428,1.24641,0.95942,1.27728,0.000510864,0.000510864,0.000510864
84,189.402,0.66519,0.48303,0.8944,0.75621,0.67353,0.70739,0.43554,1.21904,0.96769,1.27481,0.000510313,0.000510313,0.000510313
85,191.46,0.66401,0.48654,0.9543,0.81823,0.64449,0.70723,0.45621,1.31111,0.9317,1.29873,0.000509763,0.000509763,0.000509763
86,193.528,0.65283,0.46787,0.96303,0.723,0.68706,0.7059,0.4712,1.21861,0.90742,1.28232,0.000509213,0.000509213,0.000509213
87,195.596,0.69664,0.49679,0.93199,0.84057,0.64338,0.69409,0.47309,1.19463,0.91436,1.29094,0.000508662,0.000508662,0.000508662
88,197.659,0.69661,0.48449,0.93082,0.83102,0.62363,0.69835,0.47338,1.22428,0.90819,1.26669,0.000508112,0.000508112,0.000508112
89,199.693,0.656,0.48165,0.89452,0.78737,0.57617,0.67699,0.43605,1.20487,0.98653,1.27758,0.000507561,0.000507561,0.000507561
90,201.723,0.61936,0.49,0.89823,0.75675,0.64547,0.69357,0.43172,1.22365,0.95203,1.2542,0.000507011,0.000507011,0.000507011
91,203.954,0.68987,0.50872,0.91116,0.75454,0.63803,0.71472,0.46593,1.23424,1.22974,1.25514,0.00050646,0.00050646,0.00050646
92,206.035,0.61355,0.45193,0.92134,0.77727,0.66668,0.72836,0.46877,1.24274,1.10624,1.2368,0.00050591,0.00050591,0.00050591
93,208.068,0.64489,0.47426,0.9326,0.83084,0.62516,0.69173,0.45836,1.27618,1.10254,1.29453,0.00050536,0.00050536,0.00050536
94,210.121,0.6588,0.48357,0.9361,0.82057,0.58351,0.67741,0.43062,1.39658,1.15508,1.42533,0.000504809,0.000504809,0.000504809
95,212.216,0.62203,0.46766,0.91743,0.77513,0.56038,0.66937,0.37788,1.44022,1.23081,1.57344,0.000504259,0.000504259,0.000504259
96,214.283,0.6316,0.45626,0.88919,0.75208,0.61587,0.70691,0.40072,1.45932,1.12523,1.64132,0.000503708,0.000503708,0.000503708
97,216.524,0.59332,0.44429,0.88457,0.9018,0.56148,0.71328,0.41288,1.39007,1.11457,1.53838,0.000503158,0.000503158,0.000503158
98,218.569,0.58618,0.42128,0.8888,0.82203,0.6024,0.73328,0.44443,1.23734,1.11888,1.2878,0.000502607,0.000502607,0.000502607
99,220.626,0.64212,0.45636,0.90841,0.83309,0.66445,0.76684,0.49478,1.2472,1.01728,1.27654,0.000502057,0.000502057,0.000502057
100,223.382,0.57878,0.44436,0.90322,0.8212,0.67189,0.75531,0.50872,1.30399,0.92711,1.32393,0.000501506,0.000501506,0.000501506
101,226.144,0.59276,0.43558,0.88071,0.86458,0.66171,0.73072,0.49086,1.28543,0.8833,1.36594,0.000500956,0.000500956,0.000500956
102,228.168,0.60891,0.4324,0.89833,0.81745,0.65521,0.72047,0.48651,1.25965,0.88742,1.35015,0.000500406,0.000500406,0.000500406
103,230.409,0.5906,0.43067,0.87925,0.80205,0.63825,0.70483,0.47175,1.28316,1.07683,1.34337,0.000499855,0.000499855,0.000499855
104,232.476,0.59628,0.44743,0.89821,0.78336,0.64541,0.71365,0.47224,1.27154,1.07913,1.36095,0.000499305,0.000499305,0.000499305
105,234.532,0.60516,0.42692,0.90772,0.84088,0.65626,0.73338,0.48115,1.24581,0.81658,1.3592,0.000498754,0.000498754,0.000498754
106,236.595,0.59863,0.45125,0.89625,0.77421,0.61904,0.74951,0.48891,1.1983,0.8349,1.38346,0.000498204,0.000498204,0.000498204
107,238.73,0.70346,0.47236,0.90758,0.73292,0.58956,0.70349,0.48724,1.21694,0.90733,1.3502,0.000497653,0.000497653,0.000497653
108,240.789,0.62295,0.44474,0.9085,0.8104,0.60528,0.69849,0.48105,1.23631,0.85642,1.30736,0.000497103,0.000497103,0.000497103
109,242.851,0.63082,0.43778,0.89344,0.83544,0.62306,0.70207,0.48829,1.15751,0.81108,1.16024,0.000496552,0.000496552,0.000496552
110,245.079,0.54862,0.41335,0.87173,0.7988,0.64862,0.71002,0.49809,1.14991,0.75889,1.17905,0.000496002,0.000496002,0.000496002
